,0,1,2,3
"[0, 0]",-0.34390000000000004,-0.02194968248710659,-0.40951000000000004,0.2674236787932884
Terminal,0.0,0.0,0.0,0.0
"[0, 1]",-0.0001314713397957668,0.0,-0.34390000000000004,-0.008979078292404753
"[1, 1]",0.053840453836641065,-0.1,-0.009000000000000001,-0.19
"[1, 0]",-0.271,0.0029637245950803366,-0.0036244638296323538,0.4131373622357067
"[0, 2]",-0.0171,0.0,-0.1,-0.1
"[2, 0]",-0.34390000000000004,-0.1,-0.0012624786646841264,0.5524726170109693
"[3, 0]",-0.271,0.5685336917757552,0.027606315725745317,0.1262365806924104
"[3, 1]",0.04640777742472749,0.806521737459595,-0.271,0.06950799303854152
"[3, 2]",0.0,0.0,0.9986899794913624,0.15401849302811643
"[3, 3]",0.0897534965295042,0.0,0.0,0.0
"[2, 3]",0.1,0.0,0.0,0.0
"[1, 3]",-0.19,0.0,-0.009000000000000001,0.0
"[0, 3]",0.0,0.0,-0.19,-0.009000000000000001
